"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","WD17NMW","LAD17CD","LAD17NM","FID"
"185","E01007943","Sheffield 019C","E05010861","Burngreave",NA,"E08000019","Sheffield",7788
"186","E01007944","Sheffield 022F","E05010861","Burngreave",NA,"E08000019","Sheffield",7789
"187","E01007945","Sheffield 015B","E05010868","Firth Park",NA,"E08000019","Sheffield",7790
"188","E01007946","Sheffield 015C","E05010868","Firth Park",NA,"E08000019","Sheffield",7791
"189","E01007947","Sheffield 013C","E05010868","Firth Park",NA,"E08000019","Sheffield",7792
"190","E01007948","Sheffield 013D","E05010868","Firth Park",NA,"E08000019","Sheffield",7793
"191","E01007949","Sheffield 020E","E05010861","Burngreave",NA,"E08000019","Sheffield",7794
"192","E01007950","Sheffield 015D","E05010868","Firth Park",NA,"E08000019","Sheffield",7795
"193","E01007951","Sheffield 029A","E05010863","Crookes and Crosspool",NA,"E08000019","Sheffield",7796
"194","E01007952","Sheffield 033A","E05010863","Crookes and Crosspool",NA,"E08000019","Sheffield",7797
"195","E01007953","Sheffield 033B","E05010863","Crookes and Crosspool",NA,"E08000019","Sheffield",7798
"196","E01007954","Sheffield 033C","E05010863","Crookes and Crosspool",NA,"E08000019","Sheffield",7799
"197","E01007955","Sheffield 041A","E05010869","Fulwood",NA,"E08000019","Sheffield",7800
"198","E01008057","Sheffield 007D","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7801
"199","E01008058","Sheffield 006C","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7802
"200","E01008059","Sheffield 010C","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7803
"201","E01008060","Sheffield 010D","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7804
"202","E01008061","Sheffield 011A","E05010868","Firth Park",NA,"E08000019","Sheffield",7805
"203","E01008062","Sheffield 013E","E05010868","Firth Park",NA,"E08000019","Sheffield",7806
"204","E01008063","Sheffield 011B","E05010868","Firth Park",NA,"E08000019","Sheffield",7807
"205","E01008064","Sheffield 028A","E05010863","Crookes and Crosspool",NA,"E08000019","Sheffield",7808
"206","E01008065","Sheffield 026A","E05010882","Walkley",NA,"E08000019","Sheffield",7809
"207","E01008066","Sheffield 028B","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7810
"208","E01008067","Sheffield 030D","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7811
"209","E01008068","Sheffield 026B","E05010882","Walkley",NA,"E08000019","Sheffield",7812
"210","E01008069","Sheffield 028C","E05010863","Crookes and Crosspool",NA,"E08000019","Sheffield",7813
"211","E01008072","Sheffield 026C","E05010882","Walkley",NA,"E08000019","Sheffield",7814
"212","E01008073","Sheffield 030E","E05010882","Walkley",NA,"E08000019","Sheffield",7815
"213","E01008074","Sheffield 028D","E05010863","Crookes and Crosspool",NA,"E08000019","Sheffield",7816
"214","E01008075","Sheffield 060B","E05010870","Gleadless Valley",NA,"E08000019","Sheffield",7817
"215","E01008076","Sheffield 060C","E05010870","Gleadless Valley",NA,"E08000019","Sheffield",7818
"216","E01008077","Sheffield 060D","E05010870","Gleadless Valley",NA,"E08000019","Sheffield",7819
"217","E01008078","Sheffield 064E","E05010871","Graves Park",NA,"E08000019","Sheffield",7820
"218","E01008079","Sheffield 064F","E05010871","Graves Park",NA,"E08000019","Sheffield",7821
"219","E01008080","Sheffield 069D","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7822
"220","E01008081","Sheffield 070A","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7823
"221","E01008082","Sheffield 070B","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7824
"222","E01008083","Sheffield 070C","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7825
"223","E01008084","Sheffield 070D","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7826
"224","E01008085","Sheffield 009A","E05010879","Southey",NA,"E08000019","Sheffield",7827
"225","E01008086","Sheffield 009B","E05010879","Southey",NA,"E08000019","Sheffield",7828
"226","E01008087","Sheffield 012A","E05010879","Southey",NA,"E08000019","Sheffield",7829
"227","E01008088","Sheffield 012B","E05010879","Southey",NA,"E08000019","Sheffield",7830
"228","E01008089","Sheffield 017B","E05010872","Hillsborough",NA,"E08000019","Sheffield",7831
"229","E01008090","Sheffield 012C","E05010879","Southey",NA,"E08000019","Sheffield",7832
"230","E01008091","Sheffield 017C","E05010872","Hillsborough",NA,"E08000019","Sheffield",7833
"231","E01008092","Sheffield 012D","E05010879","Southey",NA,"E08000019","Sheffield",7834
"232","E01008093","Sheffield 017D","E05010872","Hillsborough",NA,"E08000019","Sheffield",7835
"233","E01008094","Sheffield 019D","E05010879","Southey",NA,"E08000019","Sheffield",7836
"234","E01008095","Sheffield 043A","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7837
"235","E01008096","Sheffield 043B","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7838
"236","E01008097","Sheffield 043C","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7839
"237","E01008098","Sheffield 048A","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7840
"238","E01008099","Sheffield 051E","E05010870","Gleadless Valley",NA,"E08000019","Sheffield",7841
"239","E01008100","Sheffield 048B","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7842
"240","E01008101","Sheffield 043D","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7843
"241","E01008102","Sheffield 048C","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7844
