"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","WD17NMW","LAD17CD","LAD17NM","FID"
"307","E01008122","Sheffield 012E","E05010879","Southey",NA,"E08000019","Sheffield",7910
"308","E01008123","Sheffield 015E","E05010868","Firth Park",NA,"E08000019","Sheffield",7911
"309","E01008124","Sheffield 012F","E05010879","Southey",NA,"E08000019","Sheffield",7912
"310","E01008125","Sheffield 009G","E05010879","Southey",NA,"E08000019","Sheffield",7913
"311","E01008126","Sheffield 008A","E05010880","Stannington",NA,"E08000019","Sheffield",7914
"312","E01008128","Sheffield 008C","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7915
"313","E01008129","Sheffield 023A","E05010880","Stannington",NA,"E08000019","Sheffield",7916
"314","E01008130","Sheffield 023B","E05010880","Stannington",NA,"E08000019","Sheffield",7917
"315","E01008131","Sheffield 023C","E05010880","Stannington",NA,"E08000019","Sheffield",7918
"316","E01008132","Sheffield 023D","E05010880","Stannington",NA,"E08000019","Sheffield",7919
"317","E01008133","Sheffield 023E","E05010880","Stannington",NA,"E08000019","Sheffield",7920
"318","E01008134","Sheffield 005B","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7921
"319","E01008135","Sheffield 005C","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7922
"320","E01008136","Sheffield 008D","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7923
"321","E01008137","Sheffield 005D","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7924
"322","E01008138","Sheffield 006D","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7925
"323","E01008139","Sheffield 006E","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7926
"324","E01008140","Sheffield 008E","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7927
"325","E01008141","Sheffield 005E","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7928
"326","E01008142","Sheffield 002A","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7929
"327","E01008143","Sheffield 002B","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7930
"328","E01008144","Sheffield 001A","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7931
"329","E01008145","Sheffield 001B","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7932
"330","E01008146","Sheffield 002C","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7933
"331","E01008147","Sheffield 002D","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7934
"332","E01008148","Sheffield 001C","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7935
"333","E01008149","Sheffield 001D","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7936
"334","E01008150","Sheffield 001E","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7937
"335","E01008151","Sheffield 024A","E05010882","Walkley",NA,"E08000019","Sheffield",7938
"336","E01008152","Sheffield 025C","E05010880","Stannington",NA,"E08000019","Sheffield",7939
"337","E01008153","Sheffield 024B","E05010882","Walkley",NA,"E08000019","Sheffield",7940
"338","E01008154","Sheffield 024C","E05010882","Walkley",NA,"E08000019","Sheffield",7941
"339","E01008155","Sheffield 024D","E05010882","Walkley",NA,"E08000019","Sheffield",7942
"340","E01008156","Sheffield 024E","E05010882","Walkley",NA,"E08000019","Sheffield",7943
"341","E01008157","Sheffield 026D","E05010882","Walkley",NA,"E08000019","Sheffield",7944
"342","E01008158","Sheffield 025D","E05010880","Stannington",NA,"E08000019","Sheffield",7945
"343","E01008159","Sheffield 029D","E05010863","Crookes and Crosspool",NA,"E08000019","Sheffield",7946
"344","E01008160","Sheffield 024F","E05010882","Walkley",NA,"E08000019","Sheffield",7947
"345","E01008161","Sheffield 026E","E05010882","Walkley",NA,"E08000019","Sheffield",7948
