"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","LAD17NM"
"704","E01007954","Sheffield 033C","E05010863","Crookes and Crosspool","Sheffield"
"705","E01007955","Sheffield 041A","E05010869","Fulwood","Sheffield"
"706","E01008057","Sheffield 007D","E05010878","Shiregreen and Brightside","Sheffield"
"707","E01008058","Sheffield 006C","E05010866","East Ecclesfield","Sheffield"
"708","E01008059","Sheffield 010C","E05010878","Shiregreen and Brightside","Sheffield"
"709","E01008060","Sheffield 010D","E05010878","Shiregreen and Brightside","Sheffield"
"710","E01008061","Sheffield 011A","E05010868","Firth Park","Sheffield"
"711","E01008062","Sheffield 013E","E05010868","Firth Park","Sheffield"
"712","E01008063","Sheffield 011B","E05010868","Firth Park","Sheffield"
"713","E01008064","Sheffield 028A","E05010863","Crookes and Crosspool","Sheffield"
"714","E01008065","Sheffield 026A","E05010882","Walkley","Sheffield"
"715","E01008066","Sheffield 028B","E05010860","Broomhill and Sharrow Vale","Sheffield"
"716","E01008067","Sheffield 030D","E05010860","Broomhill and Sharrow Vale","Sheffield"
"717","E01008068","Sheffield 026B","E05010882","Walkley","Sheffield"
"718","E01008069","Sheffield 028C","E05010863","Crookes and Crosspool","Sheffield"
"719","E01008072","Sheffield 026C","E05010882","Walkley","Sheffield"
"720","E01008073","Sheffield 030E","E05010882","Walkley","Sheffield"
"721","E01008074","Sheffield 028D","E05010863","Crookes and Crosspool","Sheffield"
"722","E01008075","Sheffield 060B","E05010870","Gleadless Valley","Sheffield"
"723","E01008076","Sheffield 060C","E05010870","Gleadless Valley","Sheffield"
"724","E01008077","Sheffield 060D","E05010870","Gleadless Valley","Sheffield"
"725","E01008078","Sheffield 064E","E05010871","Graves Park","Sheffield"
"726","E01008079","Sheffield 064F","E05010871","Graves Park","Sheffield"
"727","E01008080","Sheffield 069D","E05010857","Beauchief and Greenhill","Sheffield"
"728","E01008081","Sheffield 070A","E05010857","Beauchief and Greenhill","Sheffield"
"729","E01008082","Sheffield 070B","E05010857","Beauchief and Greenhill","Sheffield"
"730","E01008083","Sheffield 070C","E05010857","Beauchief and Greenhill","Sheffield"
"731","E01008084","Sheffield 070D","E05010857","Beauchief and Greenhill","Sheffield"
"732","E01008085","Sheffield 009A","E05010879","Southey","Sheffield"
"733","E01008086","Sheffield 009B","E05010879","Southey","Sheffield"
"734","E01008087","Sheffield 012A","E05010879","Southey","Sheffield"
"735","E01008088","Sheffield 012B","E05010879","Southey","Sheffield"
"736","E01008089","Sheffield 017B","E05010872","Hillsborough","Sheffield"
"737","E01008090","Sheffield 012C","E05010879","Southey","Sheffield"
"738","E01008091","Sheffield 017C","E05010872","Hillsborough","Sheffield"
"739","E01008092","Sheffield 012D","E05010879","Southey","Sheffield"
