"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","LAD17NM"
"145","E01007537","Doncaster 035A","E05010733","Conisbrough","Doncaster"
"146","E01007538","Doncaster 035B","E05010733","Conisbrough","Doncaster"
"147","E01007539","Doncaster 035C","E05010733","Conisbrough","Doncaster"
"148","E01007540","Doncaster 035D","E05010733","Conisbrough","Doncaster"
"149","E01007541","Doncaster 035E","E05010733","Conisbrough","Doncaster"
"150","E01007542","Doncaster 032B","E05010733","Conisbrough","Doncaster"
"151","E01007543","Doncaster 032C","E05010733","Conisbrough","Doncaster"
"152","E01007544","Doncaster 032D","E05010733","Conisbrough","Doncaster"
"153","E01007545","Doncaster 034A","E05010735","Edlington & Warmsworth","Doncaster"
"154","E01007546","Doncaster 033A","E05010735","Edlington & Warmsworth","Doncaster"
"155","E01007547","Doncaster 034B","E05010735","Edlington & Warmsworth","Doncaster"
"156","E01007698","Rotherham 001E","E05001024","Hoober","Rotherham"
"157","E01007393","Barnsley 029B","E05000984","Hoyland Milton","Barnsley"
"158","E01007598","Doncaster 036D","E05010742","Rossington & Bawtry","Doncaster"
"159","E01007648","Doncaster 019D","E05010747","Town","Doncaster"
"160","E01007548","Doncaster 034C","E05010735","Edlington & Warmsworth","Doncaster"
"161","E01007749","Rotherham 033B","E05001035","Wales","Rotherham"
"162","E01007549","Doncaster 034D","E05010735","Edlington & Warmsworth","Doncaster"
"163","E01007699","Rotherham 027B","E05001020","Brinsworth and Catcliffe","Rotherham"
"164","E01007550","Doncaster 034E","E05010735","Edlington & Warmsworth","Doncaster"
"165","E01007649","Doncaster 019E","E05010747","Town","Doncaster"
"166","E01007394","Barnsley 029C","E05000984","Hoyland Milton","Barnsley"
"167","E01007700","Rotherham 027C","E05001028","Rother Vale","Rotherham"
"168","E01007551","Doncaster 033B","E05010735","Edlington & Warmsworth","Doncaster"
"169","E01007750","Rotherham 031D","E05001035","Wales","Rotherham"
"170","E01007599","Doncaster 026A","E05010736","Finningley","Doncaster"
"171","E01007650","Doncaster 015B","E05010748","Wheatley Hills & Intake","Doncaster"
"172","E01007395","Barnsley 030E","E05000991","Rockingham","Barnsley"
"173","E01007701","Rotherham 027D","E05001028","Rother Vale","Rotherham"
"174","E01007552","Doncaster 033C","E05010735","Edlington & Warmsworth","Doncaster"
"175","E01007751","Rotherham 033C","E05001035","Wales","Rotherham"
"176","E01007600","Doncaster 026B","E05010736","Finningley","Doncaster"
"177","E01007396","Barnsley 028A","E05000991","Rockingham","Barnsley"
"178","E01007651","Doncaster 015C","E05010748","Wheatley Hills & Intake","Doncaster"
"179","E01007652","Doncaster 015D","E05010748","Wheatley Hills & Intake","Doncaster"
"180","E01007397","Barnsley 028B","E05000991","Rockingham","Barnsley"
"181","E01007702","Rotherham 025B","E05001020","Brinsworth and Catcliffe","Rotherham"
"182","E01007553","Doncaster 008A","E05010737","Hatfield","Doncaster"
"183","E01007653","Doncaster 015E","E05010747","Town","Doncaster"
"184","E01007398","Barnsley 028C","E05000991","Rockingham","Barnsley"
"185","E01007752","Rotherham 033D","E05001035","Wales","Rotherham"
"186","E01007601","Doncaster 026C","E05010736","Finningley","Doncaster"
"187","E01007654","Doncaster 019F","E05010747","Town","Doncaster"
"188","E01007399","Barnsley 028D","E05000991","Rockingham","Barnsley"
"189","E01007554","Doncaster 006A","E05010737","Hatfield","Doncaster"
"190","E01007602","Doncaster 026D","E05010736","Finningley","Doncaster"
"191","E01007703","Rotherham 025C","E05001020","Brinsworth and Catcliffe","Rotherham"
"192","E01007753","Rotherham 033E","E05001035","Wales","Rotherham"
"193","E01007655","Doncaster 022F","E05010747","Town","Doncaster"
"194","E01007400","Barnsley 009C","E05000986","Monk Bretton","Barnsley"
"195","E01007555","Doncaster 006B","E05010737","Hatfield","Doncaster"
"196","E01007603","Doncaster 026E","E05010736","Finningley","Doncaster"
"197","E01007704","Rotherham 025D","E05001020","Brinsworth and Catcliffe","Rotherham"
"198","E01007754","Rotherham 018B","E05001022","Hellaby","Rotherham"
"199","E01007656","Doncaster 015F","E05010748","Wheatley Hills & Intake","Doncaster"
"200","E01007402","Barnsley 011B","E05000986","Monk Bretton","Barnsley"
"201","E01007556","Doncaster 006C","E05010737","Hatfield","Doncaster"
"202","E01007604","Doncaster 024D","E05010736","Finningley","Doncaster"
"203","E01007705","Rotherham 025E","E05001020","Brinsworth and Catcliffe","Rotherham"
"204","E01007755","Rotherham 018C","E05001026","Maltby","Rotherham"
"205","E01007657","Rotherham 029A","E05008935","Anston and Woodsetts","Rotherham"
"206","E01007403","Barnsley 011C","E05000986","Monk Bretton","Barnsley"
"207","E01007557","Doncaster 008B","E05010737","Hatfield","Doncaster"
"208","E01007605","Doncaster 027C","E05010736","Finningley","Doncaster"
"209","E01007706","Rotherham 027E","E05001020","Brinsworth and Catcliffe","Rotherham"
"210","E01007756","Rotherham 018D","E05001022","Hellaby","Rotherham"
"211","E01007658","Rotherham 032A","E05008935","Anston and Woodsetts","Rotherham"
"212","E01007404","Barnsley 009D","E05000986","Monk Bretton","Barnsley"
"213","E01007558","Doncaster 008C","E05010737","Hatfield","Doncaster"
"214","E01007606","Doncaster 027D","E05010736","Finningley","Doncaster"
"215","E01007707","Rotherham 025F","E05001020","Brinsworth and Catcliffe","Rotherham"
"216","E01007757","Rotherham 020A","E05001026","Maltby","Rotherham"
"217","E01007659","Rotherham 029B","E05008935","Anston and Woodsetts","Rotherham"
"218","E01007405","Barnsley 011D","E05000986","Monk Bretton","Barnsley"
"219","E01007559","Doncaster 008D","E05010737","Hatfield","Doncaster"
"220","E01007607","Doncaster 025E","E05010736","Finningley","Doncaster"
"221","E01007708","Rotherham 021A","E05001034","Valley","Rotherham"
"222","E01007758","Rotherham 020B","E05001026","Maltby","Rotherham"
"223","E01007660","Rotherham 032B","E05008935","Anston and Woodsetts","Rotherham"
"224","E01007406","Barnsley 009E","E05000986","Monk Bretton","Barnsley"
"225","E01007408","Barnsley 010C","E05000988","Old Town","Barnsley"
"226","E01007409","Barnsley 010D","E05000988","Old Town","Barnsley"
"227","E01007410","Barnsley 010E","E05000988","Old Town","Barnsley"
"228","E01007411","Barnsley 007F","E05000993","St Helens","Barnsley"
"229","E01007413","Barnsley 017C","E05000985","Kingstone","Barnsley"
"230","E01007414","Barnsley 017D","E05000985","Kingstone","Barnsley"
"231","E01007415","Barnsley 013C","E05000985","Kingstone","Barnsley"
"232","E01007416","Barnsley 018D","E05000994","Stairfoot","Barnsley"
"233","E01007417","Barnsley 013D","E05000985","Kingstone","Barnsley"
"234","E01007418","Barnsley 016A","E05000989","Penistone East","Barnsley"
"235","E01007419","Barnsley 016B","E05000989","Penistone East","Barnsley"
"236","E01007420","Barnsley 016C","E05000989","Penistone East","Barnsley"
"237","E01007421","Barnsley 027A","E05000989","Penistone East","Barnsley"
"238","E01007422","Barnsley 027B","E05000989","Penistone East","Barnsley"
"239","E01007423","Barnsley 027C","E05000989","Penistone East","Barnsley"
"240","E01007424","Barnsley 028E","E05000989","Penistone East","Barnsley"
"241","E01007425","Barnsley 016D","E05000989","Penistone East","Barnsley"
"242","E01007426","Barnsley 027D","E05000990","Penistone West","Barnsley"
"243","E01007427","Barnsley 024A","E05000990","Penistone West","Barnsley"
"244","E01007428","Barnsley 024B","E05000990","Penistone West","Barnsley"
"245","E01007429","Barnsley 024C","E05000990","Penistone West","Barnsley"
"246","E01007430","Barnsley 024D","E05000990","Penistone West","Barnsley"
"247","E01007431","Barnsley 024E","E05000990","Penistone West","Barnsley"
"248","E01007432","Barnsley 024F","E05000990","Penistone West","Barnsley"
"249","E01007433","Barnsley 002A","E05000992","Royston","Barnsley"
"250","E01007434","Barnsley 001A","E05000992","Royston","Barnsley"
"251","E01007435","Barnsley 001B","E05000992","Royston","Barnsley"
"252","E01007436","Barnsley 002B","E05000992","Royston","Barnsley"
"253","E01007437","Barnsley 002C","E05000986","Monk Bretton","Barnsley"
"254","E01007438","Barnsley 001C","E05000992","Royston","Barnsley"
"255","E01007439","Barnsley 001D","E05000992","Royston","Barnsley"
"256","E01007440","Barnsley 002D","E05000992","Royston","Barnsley"
"257","E01007441","Barnsley 013E","E05000988","Old Town","Barnsley"
"258","E01007442","Barnsley 012E","E05000983","Dodworth","Barnsley"
"259","E01007443","Barnsley 013F","E05000985","Kingstone","Barnsley"
"260","E01007444","Barnsley 012F","E05000983","Dodworth","Barnsley"
"261","E01007445","Barnsley 013G","E05000985","Kingstone","Barnsley"
"262","E01007560","Doncaster 008E","E05010737","Hatfield","Doncaster"
"263","E01007661","Rotherham 032C","E05008935","Anston and Woodsetts","Rotherham"
"264","E01007709","Rotherham 021B","E05001032","Sitwell","Rotherham"
"265","E01007561","Doncaster 006D","E05010737","Hatfield","Doncaster"
"266","E01007662","Rotherham 032D","E05008935","Anston and Woodsetts","Rotherham"
"267","E01007710","Rotherham 021C","E05001034","Valley","Rotherham"
"268","E01007562","Doncaster 006E","E05010737","Hatfield","Doncaster"
"269","E01007663","Rotherham 032E","E05008935","Anston and Woodsetts","Rotherham"
"270","E01007711","Rotherham 021D","E05001032","Sitwell","Rotherham"
"271","E01007563","Doncaster 006F","E05010737","Hatfield","Doncaster"
"272","E01007664","Rotherham 032F","E05008935","Anston and Woodsetts","Rotherham"
"273","E01007446","Barnsley 012G","E05000988","Old Town","Barnsley"
"274","E01007712","Rotherham 023E","E05001032","Sitwell","Rotherham"
"275","E01007713","Rotherham 023F","E05001032","Sitwell","Rotherham"
"276","E01007714","Rotherham 017B","E05001019","Boston Castle","Rotherham"
"277","E01007715","Rotherham 016A","E05001030","Rotherham West","Rotherham"
"278","E01007716","Rotherham 016B","E05001030","Rotherham West","Rotherham"
"279","E01007717","Rotherham 016C","E05001030","Rotherham West","Rotherham"
"280","E01007718","Rotherham 016D","E05001030","Rotherham West","Rotherham"
"281","E01007719","Rotherham 010A","E05001034","Valley","Rotherham"
"282","E01007720","Rotherham 010B","E05001031","Silverwood","Rotherham"
"283","E01007721","Rotherham 010C","E05001034","Valley","Rotherham"
"284","E01007723","Rotherham 013A","E05001034","Valley","Rotherham"
"285","E01007724","Rotherham 021E","E05001034","Valley","Rotherham"
"286","E01007725","Rotherham 019E","E05001037","Wickersley","Rotherham"
"287","E01007726","Rotherham 019F","E05001037","Wickersley","Rotherham"
"288","E01007727","Rotherham 010D","E05001031","Silverwood","Rotherham"
"289","E01007728","Rotherham 009A","E05001038","Wingfield","Rotherham"
"290","E01007729","Rotherham 009B","E05001038","Wingfield","Rotherham"
"291","E01007730","Rotherham 009C","E05001038","Wingfield","Rotherham"
"292","E01007731","Rotherham 009D","E05001038","Wingfield","Rotherham"
"293","E01007732","Rotherham 009E","E05001038","Wingfield","Rotherham"
"294","E01007733","Rotherham 009F","E05001038","Wingfield","Rotherham"
"295","E01007734","Rotherham 021F","E05001029","Rotherham East","Rotherham"
"296","E01007735","Rotherham 013B","E05001029","Rotherham East","Rotherham"
"297","E01007736","Rotherham 014A","E05001029","Rotherham East","Rotherham"
"298","E01007737","Rotherham 013C","E05001034","Valley","Rotherham"
"299","E01007738","Rotherham 013D","E05001029","Rotherham East","Rotherham"
"300","E01007739","Rotherham 013E","E05001029","Rotherham East","Rotherham"
"301","E01007740","Rotherham 011A","E05001038","Wingfield","Rotherham"
"302","E01007741","Rotherham 015A","E05001030","Rotherham West","Rotherham"
"303","E01007742","Rotherham 015B","E05001025","Keppel","Rotherham"
"304","E01007743","Rotherham 015C","E05001025","Keppel","Rotherham"
"305","E01007744","Rotherham 015D","E05001030","Rotherham West","Rotherham"
"306","E01007745","Rotherham 015E","E05001030","Rotherham West","Rotherham"
"307","E01007746","Rotherham 015F","E05001030","Rotherham West","Rotherham"
"308","E01007747","Rotherham 031C","E05001035","Wales","Rotherham"
"309","E01007748","Rotherham 033A","E05001035","Wales","Rotherham"
"310","E01007608","Doncaster 038A","E05010736","Finningley","Doncaster"
"311","E01007759","Rotherham 020C","E05001026","Maltby","Rotherham"
"312","E01007447","Barnsley 023A","E05000995","Wombwell","Barnsley"
"313","E01007665","Rotherham 027A","E05001028","Rother Vale","Rotherham"
"314","E01007564","Doncaster 018A","E05010748","Wheatley Hills & Intake","Doncaster"
"315","E01007760","Rotherham 020D","E05001026","Maltby","Rotherham"
"316","E01007609","Doncaster 038B","E05010742","Rossington & Bawtry","Doncaster"
"317","E01007448","Barnsley 023B","E05000995","Wombwell","Barnsley"
"318","E01007666","Rotherham 026A","E05001023","Holderness","Rotherham"
"319","E01007565","Doncaster 018B","E05010748","Wheatley Hills & Intake","Doncaster"
"320","E01007761","Rotherham 018E","E05001022","Hellaby","Rotherham"
"321","E01007610","Doncaster 038C","E05010742","Rossington & Bawtry","Doncaster"
"322","E01007449","Barnsley 023C","E05000978","Darfield","Barnsley"
"323","E01007667","Rotherham 030A","E05001023","Holderness","Rotherham"
"324","E01007566","Doncaster 018C","E05010748","Wheatley Hills & Intake","Doncaster"
"325","E01007567","Doncaster 018D","E05010748","Wheatley Hills & Intake","Doncaster"
"326","E01007568","Doncaster 018E","E05010748","Wheatley Hills & Intake","Doncaster"
"327","E01007569","Doncaster 018F","E05010748","Wheatley Hills & Intake","Doncaster"
"328","E01007570","Doncaster 015A","E05010748","Wheatley Hills & Intake","Doncaster"
"329","E01007571","Doncaster 031A","E05010739","Mexborough","Doncaster"
"330","E01007572","Doncaster 031B","E05010739","Mexborough","Doncaster"
"331","E01007573","Doncaster 031C","E05010739","Mexborough","Doncaster"
"332","E01007574","Doncaster 031D","E05010739","Mexborough","Doncaster"
"333","E01007575","Doncaster 030A","E05010739","Mexborough","Doncaster"
"334","E01007576","Doncaster 031E","E05010739","Mexborough","Doncaster"
"335","E01007577","Doncaster 031F","E05010739","Mexborough","Doncaster"
"336","E01007578","Doncaster 030B","E05010739","Mexborough","Doncaster"
"337","E01007579","Doncaster 030C","E05010739","Mexborough","Doncaster"
"338","E01007580","Doncaster 030D","E05010739","Mexborough","Doncaster"
"339","E01007581","Doncaster 016A","E05010741","Roman Ridge","Doncaster"
"340","E01007582","Doncaster 016B","E05010741","Roman Ridge","Doncaster"
"341","E01007583","Doncaster 020A","E05010743","Sprotbrough","Doncaster"
"342","E01007584","Doncaster 021A","E05010731","Bentley","Doncaster"
"343","E01007585","Doncaster 021B","E05010743","Sprotbrough","Doncaster"
"344","E01007586","Doncaster 020B","E05010743","Sprotbrough","Doncaster"
"345","E01007587","Doncaster 020C","E05010743","Sprotbrough","Doncaster"
"346","E01007588","Doncaster 016C","E05010741","Roman Ridge","Doncaster"
"347","E01007589","Doncaster 016D","E05010741","Roman Ridge","Doncaster"
"348","E01007590","Doncaster 037A","E05010742","Rossington & Bawtry","Doncaster"
"349","E01007591","Doncaster 036A","E05010742","Rossington & Bawtry","Doncaster"
"350","E01007592","Doncaster 037B","E05010742","Rossington & Bawtry","Doncaster"
"351","E01007593","Doncaster 037C","E05010742","Rossington & Bawtry","Doncaster"
"352","E01007594","Doncaster 036B","E05010742","Rossington & Bawtry","Doncaster"
"353","E01007595","Doncaster 037D","E05010742","Rossington & Bawtry","Doncaster"
"354","E01007596","Doncaster 036C","E05010742","Rossington & Bawtry","Doncaster"
"355","E01007597","Doncaster 037E","E05010742","Rossington & Bawtry","Doncaster"
"356","E01007762","Rotherham 018F","E05001026","Maltby","Rotherham"
"357","E01007668","Rotherham 030B","E05001023","Holderness","Rotherham"
"358","E01007763","Rotherham 020E","E05001026","Maltby","Rotherham"
"359","E01007611","Doncaster 039A","E05010746","Tickhill & Wadsworth","Doncaster"
"360","E01007669","Rotherham 030C","E05001023","Holderness","Rotherham"
"361","E01007764","Rotherham 020F","E05001026","Maltby","Rotherham"
"362","E01007612","Doncaster 039B","E05010746","Tickhill & Wadsworth","Doncaster"
"363","E01007670","Rotherham 030D","E05001023","Holderness","Rotherham"
"364","E01007450","Barnsley 023D","E05000994","Stairfoot","Barnsley"
"365","E01007765","Rotherham 014B","E05001019","Boston Castle","Rotherham"
"366","E01007613","Doncaster 033D","E05010746","Tickhill & Wadsworth","Doncaster"
"367","E01007671","Rotherham 031A","E05001028","Rother Vale","Rotherham"
"368","E01007451","Barnsley 026A","E05000995","Wombwell","Barnsley"
"369","E01007766","Rotherham 014C","E05001029","Rotherham East","Rotherham"
"370","E01007614","Doncaster 039C","E05010746","Tickhill & Wadsworth","Doncaster"
"371","E01007615","Doncaster 039D","E05010746","Tickhill & Wadsworth","Doncaster"
"372","E01007616","Doncaster 039E","E05010746","Tickhill & Wadsworth","Doncaster"
"373","E01007617","Doncaster 021C","E05010743","Sprotbrough","Doncaster"
"374","E01007618","Doncaster 021D","E05010743","Sprotbrough","Doncaster"
"375","E01007619","Doncaster 021E","E05010743","Sprotbrough","Doncaster"
"376","E01007620","Doncaster 020D","E05010733","Conisbrough","Doncaster"
"377","E01007621","Doncaster 007A","E05010734","Edenthorpe & Kirk Sandall","Doncaster"
"378","E01007622","Doncaster 007B","E05010734","Edenthorpe & Kirk Sandall","Doncaster"
"379","E01007623","Doncaster 007C","E05010734","Edenthorpe & Kirk Sandall","Doncaster"
"380","E01007624","Doncaster 007D","E05010744","Stainforth & Barnby Dun","Doncaster"
"381","E01007625","Doncaster 004A","E05010740","Norton & Askern","Doncaster"
"382","E01007626","Doncaster 004B","E05010744","Stainforth & Barnby Dun","Doncaster"
"383","E01007627","Doncaster 004C","E05010744","Stainforth & Barnby Dun","Doncaster"
"384","E01007628","Doncaster 004D","E05010744","Stainforth & Barnby Dun","Doncaster"
"385","E01007629","Doncaster 004E","E05010744","Stainforth & Barnby Dun","Doncaster"
"386","E01007630","Doncaster 007E","E05010744","Stainforth & Barnby Dun","Doncaster"
"387","E01007631","Doncaster 007F","E05010744","Stainforth & Barnby Dun","Doncaster"
"388","E01007632","Doncaster 001A","E05010745","Thorne & Moorends","Doncaster"
"389","E01007633","Doncaster 001B","E05010745","Thorne & Moorends","Doncaster"
"390","E01007634","Doncaster 001C","E05010745","Thorne & Moorends","Doncaster"
"391","E01007635","Doncaster 001D","E05010745","Thorne & Moorends","Doncaster"
"392","E01007636","Doncaster 003A","E05010745","Thorne & Moorends","Doncaster"
"393","E01007637","Doncaster 003B","E05010745","Thorne & Moorends","Doncaster"
"394","E01007638","Doncaster 003C","E05010745","Thorne & Moorends","Doncaster"
"395","E01007639","Doncaster 003D","E05010745","Thorne & Moorends","Doncaster"
"396","E01007640","Doncaster 003E","E05010745","Thorne & Moorends","Doncaster"
"397","E01007641","Doncaster 003F","E05010745","Thorne & Moorends","Doncaster"
"398","E01007642","Doncaster 003G","E05010745","Thorne & Moorends","Doncaster"
"399","E01007643","Doncaster 022D","E05010747","Town","Doncaster"
"400","E01007644","Doncaster 019A","E05010747","Town","Doncaster"
"401","E01007645","Doncaster 022E","E05010747","Town","Doncaster"
"402","E01007646","Doncaster 019B","E05010747","Town","Doncaster"
"403","E01007647","Doncaster 019C","E05010747","Town","Doncaster"
"404","E01007452","Barnsley 026B","E05000995","Wombwell","Barnsley"
"405","E01007672","Rotherham 030E","E05001023","Holderness","Rotherham"
"406","E01007453","Barnsley 026C","E05000995","Wombwell","Barnsley"
"407","E01007767","Rotherham 017C","E05001019","Boston Castle","Rotherham"
"408","E01007673","Rotherham 030F","E05001023","Holderness","Rotherham"
"409","E01007455","Barnsley 026E","E05000995","Wombwell","Barnsley"
"410","E01007768","Rotherham 014D","E05001029","Rotherham East","Rotherham"
"411","E01007674","Rotherham 031B","E05001023","Holderness","Rotherham"
"412","E01007456","Barnsley 029D","E05000984","Hoyland Milton","Barnsley"
"413","E01007769","Rotherham 017D","E05001029","Rotherham East","Rotherham"
"414","E01007675","Rotherham 023A","E05001019","Boston Castle","Rotherham"
"415","E01007457","Barnsley 029E","E05000984","Hoyland Milton","Barnsley"
"416","E01007458","Barnsley 021A","E05000996","Worsbrough","Barnsley"
"417","E01007459","Barnsley 021B","E05000996","Worsbrough","Barnsley"
"418","E01007460","Barnsley 021C","E05000996","Worsbrough","Barnsley"
"419","E01007461","Barnsley 021D","E05000996","Worsbrough","Barnsley"
"420","E01007462","Barnsley 021E","E05000996","Worsbrough","Barnsley"
"421","E01007463","Barnsley 021F","E05000996","Worsbrough","Barnsley"
"422","E01007464","Doncaster 009A","E05010728","Adwick le Street & Carcroft","Doncaster"
"423","E01007465","Doncaster 009B","E05010728","Adwick le Street & Carcroft","Doncaster"
"424","E01007466","Doncaster 009C","E05010728","Adwick le Street & Carcroft","Doncaster"
"425","E01007467","Doncaster 009D","E05010728","Adwick le Street & Carcroft","Doncaster"
"426","E01007468","Doncaster 005A","E05010740","Norton & Askern","Doncaster"
"427","E01007469","Doncaster 005B","E05010740","Norton & Askern","Doncaster"
"428","E01007470","Doncaster 005C","E05010728","Adwick le Street & Carcroft","Doncaster"
"429","E01007471","Doncaster 009E","E05010728","Adwick le Street & Carcroft","Doncaster"
"430","E01007472","Doncaster 005D","E05010728","Adwick le Street & Carcroft","Doncaster"
"431","E01007473","Doncaster 005E","E05010728","Adwick le Street & Carcroft","Doncaster"
"432","E01007474","Doncaster 005F","E05010728","Adwick le Street & Carcroft","Doncaster"
"433","E01007475","Doncaster 011A","E05010734","Edenthorpe & Kirk Sandall","Doncaster"
"434","E01007476","Doncaster 011B","E05010734","Edenthorpe & Kirk Sandall","Doncaster"
"435","E01007477","Doncaster 011C","E05010734","Edenthorpe & Kirk Sandall","Doncaster"
"436","E01007478","Doncaster 011D","E05010729","Armthorpe","Doncaster"
"437","E01007479","Doncaster 014A","E05010729","Armthorpe","Doncaster"
"438","E01007480","Doncaster 014B","E05010729","Armthorpe","Doncaster"
"439","E01007482","Doncaster 014D","E05010729","Armthorpe","Doncaster"
"440","E01007483","Doncaster 017A","E05010729","Armthorpe","Doncaster"
"441","E01007484","Doncaster 017B","E05010729","Armthorpe","Doncaster"
"442","E01007485","Doncaster 017C","E05010729","Armthorpe","Doncaster"
"443","E01007486","Doncaster 017D","E05010729","Armthorpe","Doncaster"
"444","E01007487","Doncaster 002A","E05010740","Norton & Askern","Doncaster"
"445","E01007488","Doncaster 002B","E05010740","Norton & Askern","Doncaster"
"446","E01007489","Doncaster 002C","E05010740","Norton & Askern","Doncaster"
"447","E01007490","Doncaster 002D","E05010740","Norton & Askern","Doncaster"
"448","E01007491","Doncaster 002E","E05010740","Norton & Askern","Doncaster"
"449","E01007492","Doncaster 002F","E05010740","Norton & Askern","Doncaster"
"450","E01007493","Doncaster 002G","E05010740","Norton & Askern","Doncaster"
"451","E01007494","Doncaster 023A","E05010738","Hexthorpe & Balby North","Doncaster"
"452","E01007495","Doncaster 028A","E05010730","Balby South","Doncaster"
"453","E01007496","Doncaster 029A","E05010738","Hexthorpe & Balby North","Doncaster"
"454","E01007497","Doncaster 029B","E05010738","Hexthorpe & Balby North","Doncaster"
"455","E01007770","Rotherham 014E","E05001029","Rotherham East","Rotherham"
"456","E01007676","Rotherham 025A","E05001020","Brinsworth and Catcliffe","Rotherham"
"457","E01007771","Rotherham 006A","E05001027","Rawmarsh","Rotherham"
"458","E01007677","Rotherham 017A","E05001019","Boston Castle","Rotherham"
"459","E01007772","Rotherham 006B","E05001031","Silverwood","Rotherham"
"460","E01007678","Rotherham 023B","E05001019","Boston Castle","Rotherham"
"461","E01007679","Rotherham 023C","E05001019","Boston Castle","Rotherham"
"462","E01007680","Rotherham 023D","E05001019","Boston Castle","Rotherham"
"463","E01007681","Rotherham 012A","E05001037","Wickersley","Rotherham"
"464","E01007682","Rotherham 019A","E05001037","Wickersley","Rotherham"
"465","E01007683","Rotherham 019B","E05001031","Silverwood","Rotherham"
"466","E01007684","Rotherham 022A","E05001037","Wickersley","Rotherham"
"467","E01007685","Rotherham 018A","E05001022","Hellaby","Rotherham"
"468","E01007686","Rotherham 019C","E05001037","Wickersley","Rotherham"
"469","E01007687","Rotherham 022B","E05001022","Hellaby","Rotherham"
"470","E01007688","Rotherham 019D","E05001037","Wickersley","Rotherham"
"471","E01007689","Rotherham 022C","E05001022","Hellaby","Rotherham"
"472","E01007690","Rotherham 022D","E05001022","Hellaby","Rotherham"
"473","E01007691","Rotherham 012B","E05001031","Silverwood","Rotherham"
"474","E01007692","Rotherham 012C","E05001031","Silverwood","Rotherham"
"475","E01007693","Rotherham 001A","E05001024","Hoober","Rotherham"
"476","E01007694","Rotherham 001B","E05001024","Hoober","Rotherham"
"477","E01007695","Rotherham 001C","E05001024","Hoober","Rotherham"
"478","E01007696","Rotherham 007A","E05001024","Hoober","Rotherham"
"479","E01007697","Rotherham 001D","E05001024","Hoober","Rotherham"
"480","E01007773","Rotherham 006C","E05001031","Silverwood","Rotherham"
"481","E01007774","Rotherham 006D","E05001031","Silverwood","Rotherham"
"482","E01007775","Rotherham 008A","E05001027","Rawmarsh","Rotherham"
"483","E01007776","Rotherham 008B","E05001027","Rawmarsh","Rotherham"
"484","E01007777","Rotherham 004A","E05001033","Swinton","Rotherham"
"485","E01007778","Rotherham 005A","E05001027","Rawmarsh","Rotherham"
"486","E01007779","Rotherham 005B","E05001024","Hoober","Rotherham"
"487","E01007780","Rotherham 005C","E05001027","Rawmarsh","Rotherham"
"488","E01007781","Rotherham 005D","E05001027","Rawmarsh","Rotherham"
"489","E01007782","Rotherham 005E","E05001027","Rawmarsh","Rotherham"
"490","E01007783","Rotherham 008C","E05001027","Rawmarsh","Rotherham"
"491","E01007784","Rotherham 008D","E05001027","Rawmarsh","Rotherham"
"492","E01007785","Rotherham 029C","E05008936","Dinnington","Rotherham"
"493","E01007786","Rotherham 029D","E05008936","Dinnington","Rotherham"
"494","E01007787","Rotherham 028A","E05008936","Dinnington","Rotherham"
"495","E01007788","Rotherham 028B","E05008936","Dinnington","Rotherham"
"496","E01007789","Rotherham 028C","E05008936","Dinnington","Rotherham"
"497","E01007790","Rotherham 029E","E05008936","Dinnington","Rotherham"
"498","E01007791","Rotherham 029F","E05008936","Dinnington","Rotherham"
"499","E01007792","Rotherham 028D","E05008936","Dinnington","Rotherham"
"500","E01007793","Rotherham 004B","E05001033","Swinton","Rotherham"
"501","E01007794","Rotherham 004C","E05001033","Swinton","Rotherham"
"502","E01007795","Rotherham 004D","E05001033","Swinton","Rotherham"
"503","E01007796","Rotherham 003A","E05001033","Swinton","Rotherham"
"504","E01007797","Rotherham 003B","E05001033","Swinton","Rotherham"
"505","E01007798","Rotherham 003C","E05001033","Swinton","Rotherham"
"506","E01007799","Rotherham 003D","E05001036","Wath","Rotherham"
"507","E01007800","Rotherham 003E","E05001033","Swinton","Rotherham"
"508","E01007801","Rotherham 007B","E05001025","Keppel","Rotherham"
"509","E01007802","Rotherham 007C","E05001025","Keppel","Rotherham"
"510","E01007803","Rotherham 007D","E05001025","Keppel","Rotherham"
"511","E01007804","Rotherham 011B","E05001025","Keppel","Rotherham"
"512","E01007805","Rotherham 011C","E05001025","Keppel","Rotherham"
"513","E01007806","Rotherham 011D","E05001038","Wingfield","Rotherham"
"514","E01007807","Rotherham 011E","E05001038","Wingfield","Rotherham"
"515","E01007808","Rotherham 007E","E05001025","Keppel","Rotherham"
"516","E01007809","Rotherham 026B","E05001028","Rother Vale","Rotherham"
"517","E01007810","Rotherham 026C","E05001028","Rother Vale","Rotherham"
"518","E01007811","Rotherham 024A","E05001032","Sitwell","Rotherham"
"519","E01007812","Rotherham 024B","E05001032","Sitwell","Rotherham"
"520","E01007813","Rotherham 024C","E05001032","Sitwell","Rotherham"
"521","E01007814","Rotherham 024D","E05001032","Sitwell","Rotherham"
"522","E01007815","Rotherham 026D","E05001028","Rother Vale","Rotherham"
"523","E01007816","Rotherham 002A","E05001036","Wath","Rotherham"
"524","E01007817","Rotherham 002B","E05001036","Wath","Rotherham"
"525","E01007818","Rotherham 003F","E05001036","Wath","Rotherham"
"526","E01007819","Rotherham 002C","E05001036","Wath","Rotherham"
