"LSOA_code","LSOA_name","Local_authority_district_code","Local_authority_district_name","IMD_score","IMD_rank"
"E01007937","Sheffield 047E","E08000019","Sheffield",4.696,30610
"E01007938","Sheffield 047F","E08000019","Sheffield",2.753,32262
"E01008098","Sheffield 048A","E08000019","Sheffield",62.67,713
"E01008100","Sheffield 048B","E08000019","Sheffield",57.162,1208
"E01008102","Sheffield 048C","E08000019","Sheffield",60.452,893
"E01008103","Sheffield 048D","E08000019","Sheffield",55.255,1433
"E01007964","Sheffield 049A","E08000019","Sheffield",27.207,9605
"E01007966","Sheffield 049B","E08000019","Sheffield",30.352,8072
"E01007968","Sheffield 049C","E08000019","Sheffield",42.894,3683
"E01007970","Sheffield 049D","E08000019","Sheffield",66.484,454
"E01008042","Sheffield 050A","E08000019","Sheffield",19.873,14364
"E01008045","Sheffield 050B","E08000019","Sheffield",17.463,16362
"E01008046","Sheffield 050C","E08000019","Sheffield",15.579,18061
"E01008049","Sheffield 050D","E08000019","Sheffield",12.884,20810
"E01008051","Sheffield 050E","E08000019","Sheffield",20.307,13981
"E01008052","Sheffield 050F","E08000019","Sheffield",13.687,19948
"E01007975","Sheffield 051A","E08000019","Sheffield",43.703,3491
"E01007976","Sheffield 051B","E08000019","Sheffield",34.11,6490
"E01007977","Sheffield 051C","E08000019","Sheffield",59.811,941
"E01007979","Sheffield 051D","E08000019","Sheffield",72.25,189
"E01008099","Sheffield 051E","E08000019","Sheffield",19.927,14300
"E01008000","Sheffield 052A","E08000019","Sheffield",21.841,12849
"E01008001","Sheffield 052B","E08000019","Sheffield",25.159,10791
"E01008004","Sheffield 052C","E08000019","Sheffield",30.318,8093
"E01008005","Sheffield 052D","E08000019","Sheffield",16.957,16784
"E01008010","Sheffield 052E","E08000019","Sheffield",35.103,6109
"E01007978","Sheffield 053A","E08000019","Sheffield",20.052,14211
"E01007980","Sheffield 053B","E08000019","Sheffield",19.392,14732
"E01007981","Sheffield 053C","E08000019","Sheffield",15.186,18455
"E01007983","Sheffield 053D","E08000019","Sheffield",10.8,23256
"E01007985","Sheffield 053E","E08000019","Sheffield",11.895,21924
"E01007982","Sheffield 054A","E08000019","Sheffield",42.433,3801
"E01008002","Sheffield 054B","E08000019","Sheffield",14.708,18934
"E01008003","Sheffield 054C","E08000019","Sheffield",15.129,18502
"E01008006","Sheffield 054D","E08000019","Sheffield",14.84,18804
"E01007927","Sheffield 055A","E08000019","Sheffield",1.394,32787
"E01007928","Sheffield 055B","E08000019","Sheffield",2.089,32596
"E01007929","Sheffield 055C","E08000019","Sheffield",3.778,31495
"E01007930","Sheffield 055D","E08000019","Sheffield",2.625,32332
"E01007932","Sheffield 055E","E08000019","Sheffield",4.779,30514
"E01007939","Sheffield 055F","E08000019","Sheffield",3.744,31531
"E01008028","Sheffield 056A","E08000019","Sheffield",26.773,9840
"E01008029","Sheffield 056B","E08000019","Sheffield",36.376,5641
"E01008032","Sheffield 056C","E08000019","Sheffield",26.986,9721
"E01008034","Sheffield 056D","E08000019","Sheffield",19.269,14809
"E01007828","Sheffield 059A","E08000019","Sheffield",19.987,14256
"E01007829","Sheffield 059B","E08000019","Sheffield",12.497,21218
"E01007831","Sheffield 059C","E08000019","Sheffield",10.485,23622
"E01007832","Sheffield 059D","E08000019","Sheffield",8.533,26069
"E01007986","Sheffield 059E","E08000019","Sheffield",10.197,23954
"E01008007","Sheffield 060A","E08000019","Sheffield",56.587,1274
"E01008075","Sheffield 060B","E08000019","Sheffield",61.739,779
"E01008076","Sheffield 060C","E08000019","Sheffield",57.028,1225
"E01008077","Sheffield 060D","E08000019","Sheffield",38.637,4913
"E01008031","Sheffield 061A","E08000019","Sheffield",21.444,13127
"E01008033","Sheffield 061B","E08000019","Sheffield",12.808,20900
"E01008038","Sheffield 061C","E08000019","Sheffield",7.505,27351
"E01008040","Sheffield 061D","E08000019","Sheffield",15.239,18400
"E01007835","Sheffield 062A","E08000019","Sheffield",13.926,19702
"E01007836","Sheffield 062B","E08000019","Sheffield",12.639,21078
"E01007843","Sheffield 062C","E08000019","Sheffield",32.787,7013
"E01007846","Sheffield 062D","E08000019","Sheffield",11.337,22596
"E01008030","Sheffield 063A","E08000019","Sheffield",14.322,19318
"E01008035","Sheffield 063B","E08000019","Sheffield",9.036,25405
"E01008036","Sheffield 063C","E08000019","Sheffield",7.545,27305
"E01008041","Sheffield 063D","E08000019","Sheffield",8.294,26363
"E01007827","Sheffield 064A","E08000019","Sheffield",13.623,20018
"E01007830","Sheffield 064B","E08000019","Sheffield",14.348,19289
"E01007833","Sheffield 064C","E08000019","Sheffield",16.271,17403
"E01007984","Sheffield 064D","E08000019","Sheffield",6.938,28049
"E01008078","Sheffield 064E","E08000019","Sheffield",16.997,16758
"E01008079","Sheffield 064F","E08000019","Sheffield",8.568,26025
"E01008019","Sheffield 065A","E08000019","Sheffield",24.736,10999
