"LSOA code (2011)","LSOA name (2011)","Local Authority District code (2013)","Local Authority District name (2013)","Index of Multiple Deprivation (IMD) Score","Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)","Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)","Income Score (rate)","Income Rank (where 1 is most deprived)","Income Decile (where 1 is most deprived 10% of LSOAs)","Employment Score (rate)","Employment Rank (where 1 is most deprived)","Employment Decile (where 1 is most deprived 10% of LSOAs)","Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)","Health Deprivation and Disability Score","Health Deprivation and Disability Rank (where 1 is most deprived)","Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs)","Crime Score","Crime Rank (where 1 is most deprived)","Crime Decile (where 1 is most deprived 10% of LSOAs)","Barriers to Housing and Services Score","Barriers to Housing and Services Rank (where 1 is most deprived)","Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs)","Living Environment Score","Living Environment Rank (where 1 is most deprived)","Living Environment Decile (where 1 is most deprived 10% of LSOAs)","Income Deprivation Affecting Children Index (IDACI) Score (rate)","Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived)","Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs)","Income Deprivation Affecting Older People (IDAOPI) Score (rate)","Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived)","Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs)","Children and Young People Sub-domain Score","Children and Young People Sub-domain Rank (where 1 is most deprived)","Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Adult Skills Sub-domain Score","Adult Skills Sub-domain Rank (where 1 is most deprived)","Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Geographical Barriers Sub-domain Score","Geographical Barriers Sub-domain Rank (where 1 is most deprived)","Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Wider Barriers Sub-domain Score","Wider Barriers Sub-domain Rank (where 1 is most deprived)","Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Indoors Sub-domain Score","Indoors Sub-domain Rank (where 1 is most deprived)","Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Outdoors Sub-domain Score","Outdoors Sub-domain Rank (where 1 is most deprived)","Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Total population: mid 2012 (excluding prisoners)","Dependent Children aged 0-15: mid 2012 (excluding prisoners)","Population aged 16-59: mid 2012 (excluding prisoners)","Older population aged 60 and over: mid 2012 (excluding prisoners)","Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners)"
"E01007899","Sheffield 003E","E08000019","Sheffield",7.33,27585,9,0.044,29274,9,0.069,22558,7,10.085,21770,7,-0.456,22680,7,-0.298,21032,7,17.464,19956,7,7.461,26479,9,0.033,30914,10,0.057,29719,10,-0.562,24724,8,0.283,17884,6,0.316,10531,4,-1.133,21695,7,-1.07,29256,9,0.043,15368,5,1460,228,707,525,739.5
"E01007900","Sheffield 003F","E08000019","Sheffield",27.133,9649,3,0.182,9639,3,0.148,9175,3,33.752,7242,3,0.773,6365,2,0.337,11341,4,23.591,12528,4,10.875,22598,7,0.186,13308,5,0.262,7716,3,0.618,7399,3,0.396,7085,3,0.12,13758,5,1.237,9603,3,-0.351,21530,7,-0.125,18066,6,1692,341,932,419,950.25
"E01007901","Sheffield 003G","E08000019","Sheffield",45.95,2994,1,0.341,2001,1,0.272,1772,1,44.537,4260,2,1.24,2851,1,0.117,14731,5,25.897,10141,4,12.416,20992,7,0.452,1576,1,0.38,2945,1,0.858,4942,2,0.453,3858,2,-0.08,17172,6,2.164,6188,2,-0.281,20556,7,-0.004,16135,5,1468,260,768,440,780
"E01007887","Sheffield 004A","E08000019","Sheffield",17.589,16252,5,0.13,14539,5,0.102,15329,5,23.74,11525,4,0.336,11434,4,0.091,15138,5,15.794,22055,7,10.44,23085,8,0.124,18574,6,0.227,9847,3,0.382,10381,4,0.332,12568,4,-0.177,18912,6,0.273,14068,5,-0.476,23235,8,-0.021,16427,6,1371,240,805,326,831.5
"E01007889","Sheffield 004B","E08000019","Sheffield",8.123,26590,9,0.055,26710,9,0.058,25587,8,11.788,20223,7,-0.282,20338,7,-1.254,31088,10,25.433,10581,4,6.508,27576,9,0.043,29536,9,0.129,18734,6,-0.256,20309,7,0.276,18725,6,0.905,4091,2,-2.076,26397,9,-0.901,27905,9,-0.199,19207,6,2668,613,1613,442,1609.25
"E01007890","Sheffield 004C","E08000019","Sheffield",6.589,28493,9,0.045,29019,9,0.057,25819,8,16.464,16283,5,-0.439,22432,7,-0.751,26966,9,9.855,28950,9,10.452,23070,8,0.025,31877,10,0.089,24385,8,0.162,13653,5,0.279,18355,6,-0.214,19547,6,-1.401,23096,8,-0.45,22894,7,-0.05,16895,6,1422,234,780,408,794
"E01007891","Sheffield 004D","E08000019","Sheffield",9.577,24735,8,0.045,28937,9,0.074,21365,7,9.981,21888,7,-0.43,22319,7,0.271,12361,4,18.25,19014,6,14.195,19233,6,0.028,31497,10,0.071,27600,9,-0.58,24963,8,0.283,17877,6,0.359,9910,4,-1.094,21475,7,-1.079,29323,9,0.744,6105,2,1544,235,762,547,788.5
"E01007894","Sheffield 004E","E08000019","Sheffield",16.575,17140,6,0.106,17431,6,0.07,22404,7,19.298,14277,5,0.417,10389,4,0.314,11706,4,23.017,13175,5,16.1,17588,6,0.125,18469,6,0.194,12343,4,0.266,12091,4,0.299,16084,5,0.459,8483,3,-0.166,16359,5,-0.05,17205,6,0.127,14078,5,1439,246,836,357,850.5
"E01007895","Sheffield 004F","E08000019","Sheffield",30.321,8091,3,0.21,7681,3,0.177,6598,3,44.076,4351,2,0.977,4577,2,-0.17,19143,6,19.391,17580,6,9.109,24536,8,0.289,7219,3,0.259,7910,3,1.03,3483,2,0.418,5698,2,-0.245,20077,7,1.243,9571,3,-0.502,23549,8,-0.191,19100,6,1446,208,778,460,785
"E01007896","Sheffield 004G","E08000019","Sheffield",4.884,30415,10,0.034,31087,10,0.058,25705,8,9.166,22709,7,-0.269,20148,7,-1.235,31002,10,7.182,31018,10,7.849,26024,8,0.04,29922,10,0.054,30209,10,-0.679,26231,8,0.28,18286,6,-0.186,19073,6,-3.139,29973,10,-0.779,26734,9,-0.09,17508,6,1285,185,708,392,740.25
"E01007897","Sheffield 005A","E08000019","Sheffield",8.268,26406,9,0.05,27796,9,0.075,21131,7,16.844,15980,5,-0.045,16777,6,-1.139,30423,10,10.125,28679,9,7.732,26150,8,0.066,25985,8,0.062,29059,9,-0.218,19744,7,0.335,12257,4,-0.276,20604,7,-1.081,21395,7,-0.775,26693,9,-0.111,17839,6,1383,185,634,564,656
"E01008134","Sheffield 005B","E08000019","Sheffield",13.61,20039,7,0.103,17835,6,0.1,15844,5,11.432,20543,7,-0.017,16360,5,0.262,12498,4,6.367,31502,10,14.317,19123,6,0.107,20475,7,0.139,17614,6,-0.263,20430,7,0.272,19213,6,-1.078,30253,10,-0.881,20314,7,-0.018,16742,6,-0.178,18878,6,1327,167,671,489,703.5
"E01008135","Sheffield 005C","E08000019","Sheffield",11.978,21832,7,0.071,23322,8,0.062,24491,8,15.025,17433,6,-0.091,17520,6,0.464,9524,3,12.521,26037,8,21.264,13793,5,0.077,24294,8,0.129,18728,6,-0.042,16899,6,0.292,16871,6,0.02,15490,5,-1.375,22983,7,0.324,11738,4,0.059,15109,5,1759,273,1052,434,1061
"E01008137","Sheffield 005D","E08000019","Sheffield",7.154,27807,9,0.032,31228,10,0.044,29417,9,5.964,26243,8,-0.384,21709,7,0.399,10412,4,19.889,16964,6,8.924,24765,8,0.013,32602,10,0.053,30247,10,-0.737,26852,9,0.232,23733,8,0.384,9522,3,-0.697,19305,6,-0.711,25995,8,0,16045,5,1420,183,693,544,721.25
"E01008141","Sheffield 005E","E08000019","Sheffield",8.587,26005,8,0.053,27241,9,0.051,27684,9,6.216,25975,8,-0.287,20400,7,0.617,7435,3,17.36,20096,7,7.62,26288,9,0.055,27813,9,0.082,25711,8,-0.57,24817,8,0.22,25114,8,0.345,10098,4,-1.349,22815,7,-0.89,27813,9,-0.035,16667,6,1603,262,833,508,854
"E01008053","Sheffield 006A","E08000019","Sheffield",41.124,4185,2,0.266,4751,2,0.262,2075,1,43.847,4403,2,1.317,2435,1,0.047,15842,5,21.96,14396,5,15.454,18142,6,0.321,5758,2,0.291,6310,2,0.722,6255,2,0.468,3229,1,-0.387,22468,7,1.999,6734,3,-0.055,17293,6,0.055,15198,5,1245,212,683,350,687.5
"E01008056","Sheffield 006B","E08000019","Sheffield",36.847,5500,2,0.226,6695,3,0.169,7318,3,68.457,876,1,0.775,6336,2,0.28,12214,4,27.005,9165,3,19.062,15338,5,0.26,8724,3,0.248,8474,3,1.662,611,1,0.492,2336,1,0.134,13533,5,1.883,7146,3,0.229,13134,4,-0.01,16234,5,1497,324,843,330,840.25
"E01008058","Sheffield 006C","E08000019","Sheffield",22.135,12653,4,0.133,14145,5,0.14,10078,4,31.608,7950,3,0.379,10870,4,0.313,11728,4,14.939,23116,8,16.653,17119,6,0.164,15060,5,0.174,14056,5,0.693,6556,2,0.362,9718,3,-0.16,18612,6,0.011,15432,5,-0.263,20307,7,0.46,9332,3,1438,217,799,422,804.25
"E01008138","Sheffield 006D","E08000019","Sheffield",31.317,7607,3,0.209,7756,3,0.19,5677,2,25.363,10674,4,0.946,4826,2,0.545,8403,3,23.006,13191,5,16.957,16869,6,0.1,21377,7,0.335,4407,2,0.01,16068,5,0.398,6966,3,-0.194,19218,6,1.867,7193,3,-0.145,18620,6,0.358,10688,4,1324,220,655,449,662.5
"E01008139","Sheffield 006E","E08000019","Sheffield",20.594,13764,5,0.129,14655,5,0.122,12272,4,27.203,9788,3,0.206,13140,5,0.12,14690,5,23.758,12330,4,16.245,17459,6,0.134,17614,6,0.179,13644,5,0.404,10066,4,0.364,9476,3,0.071,14609,5,1.41,8899,3,-0.194,19319,6,0.341,10922,4,1599,259,874,466,883.25
"E01007856","Sheffield 007A","E08000019","Sheffield",47.543,2690,1,0.32,2629,1,0.236,3060,1,56.305,2149,1,1.202,3047,1,0.726,6120,2,24.835,11237,4,30.678,8360,3,0.407,2650,1,0.37,3222,1,1.207,2312,1,0.485,2590,1,-0.33,21544,7,2.451,5384,2,0.576,8425,3,0.552,8165,3,1341,309,791,241,767.75
"E01008054","Sheffield 007B","E08000019","Sheffield",48.446,2520,1,0.348,1809,1,0.228,3474,2,54.633,2397,1,1.276,2657,1,0.877,4515,2,24.874,11201,4,23.199,12492,4,0.438,1875,1,0.374,3123,1,1.056,3289,2,0.498,2145,1,-0.8,27922,9,2.942,4061,2,0.235,13064,4,0.457,9386,3,1333,353,784,196,762
"E01008055","Sheffield 007C","E08000019","Sheffield",49.763,2268,1,0.353,1701,1,0.236,3034,1,68.586,867,1,1.101,3702,2,0.773,5546,2,24.45,11616,4,17.31,16619,6,0.488,958,1,0.325,4824,2,1.477,1109,1,0.522,1420,1,-0.539,24728,8,2.651,4821,2,0.076,15407,5,0.071,14932,5,1540,386,903,251,885.25
"E01008057","Sheffield 007D","E08000019","Sheffield",43.652,3506,2,0.315,2816,1,0.233,3195,1,54.621,2401,1,0.891,5269,2,0.585,7856,3,20.934,15625,5,27.333,10060,4,0.427,2104,1,0.318,5098,2,1.196,2392,1,0.475,2967,1,-1.067,30170,10,2.434,5431,2,0.472,9704,3,0.431,9721,3,1532,423,884,225,861.75
"E01008126","Sheffield 008A","E08000019","Sheffield",5.38,29905,10,0.049,28195,9,0.059,25460,8,7.87,24107,8,-0.632,24913,8,-0.422,22848,7,11.539,27103,9,6.196,27935,9,0.061,26746,9,0.055,29971,10,-0.512,24030,8,0.244,22403,7,-0.162,18630,6,-0.981,20869,7,-0.739,26320,9,-0.423,22517,7,1519,232,781,506,788.5
"E01008128","Sheffield 008C","E08000019","Sheffield",14.099,19529,6,0.038,30356,10,0.047,28560,9,7.19,24838,8,-0.797,26703,9,0.59,7801,3,42.945,1400,1,25.826,10913,4,0.024,31958,10,0.078,26316,9,-0.469,23457,8,0.227,24375,8,1.635,1058,1,-0.346,17353,6,0.671,7318,3,-0.299,20709,7,1708,285,994,429,1025.5
"E01008136","Sheffield 008D","E08000019","Sheffield",20.619,13747,5,0.142,13206,5,0.138,10250,4,21.486,12777,4,0.155,13849,5,0.387,10586,4,21.253,15241,5,9.462,24129,8,0.163,15140,5,0.163,15094,5,0.379,10428,4,0.306,15313,5,0.137,13476,5,0.668,12114,4,-0.568,24366,8,-0.058,17013,6,1340,255,726,359,746.5
"E01008140","Sheffield 008E","E08000019","Sheffield",13.498,20170,7,0.099,18497,6,0.087,18377,6,13.032,19052,6,0.072,15041,5,-0.564,24691,8,21.572,14879,5,16.209,17499,6,0.062,26560,9,0.182,13370,5,0.037,15626,5,0.249,21776,7,0.202,12395,4,0.527,12800,4,0.121,14735,5,-0.179,18913,6,1822,324,1051,447,1064
"E01033275","Sheffield 008F","E08000019","Sheffield",10.596,23497,8,0.074,22655,7,0.073,21738,7,5.474,26811,9,-0.32,20849,7,0.348,11160,4,23.339,12805,4,6.451,27631,9,0.082,23610,8,0.086,24986,8,-0.398,22446,7,0.168,29640,10,0.545,7434,3,-0.484,18072,6,-1.05,29102,9,-0.107,17782,6,1628,403,1045,180,1050
"E01033280","Sheffield 008G","E08000019","Sheffield",11.457,22445,7,0.049,27990,9,0.09,17807,6,6.534,25599,8,-0.096,17583,6,0.121,14669,5,26.085,9965,4,9.805,23761,8,0.029,31407,10,0.071,27602,9,-0.626,25577,8,0.233,23691,8,0.909,4039,2,-1.825,25214,8,-0.491,23422,8,-0.095,17596,6,1672,331,1020,321,1021
"E01008085","Sheffield 009A","E08000019","Sheffield",49.398,2324,1,0.287,3859,2,0.253,2361,1,74.014,541,1,0.864,5526,2,1.161,2208,1,26.368,9710,3,19.957,14694,5,0.375,3670,2,0.244,8790,3,1.569,813,1,0.539,999,1,-0.426,23061,8,2.839,4330,2,0.159,14157,5,0.237,12391,4,1359,277,770,312,765.5
"E01008086","Sheffield 009B","E08000019","Sheffield",51.038,2049,1,0.322,2583,1,0.268,1879,1,66.995,988,1,0.988,4488,2,1.335,1317,1,20.812,15781,5,15.169,18375,6,0.418,2329,1,0.226,9974,4,1.584,780,1,0.494,2272,1,-0.722,27056,9,2.169,6165,2,-0.084,17763,6,0.068,14962,5,1343,298,796,249,779.75
"E01008116","Sheffield 009C","E08000019","Sheffield",58.273,1093,1,0.328,2411,1,0.287,1321,1,86.722,115,1,1.251,2795,1,1.151,2269,1,27.829,8475,3,23.812,12110,4,0.392,3097,1,0.295,6083,2,1.851,287,1,0.577,391,1,-0.21,19481,6,2.77,4516,2,0.148,14342,5,0.644,7132,3,1323,293,760,270,747.5
"E01008117","Sheffield 009D","E08000019","Sheffield",58.962,1022,1,0.311,2919,1,0.303,1006,1,87.46,103,1,1.507,1610,1,1.241,1749,1,24.97,11075,4,14.976,18562,6,0.376,3615,2,0.36,3554,2,1.908,215,1,0.575,426,1,-0.703,26808,9,2.883,4206,2,-0.561,24297,8,0.555,8115,3,1225,252,661,312,672.25
"E01008118","Sheffield 009E","E08000019","Sheffield",54.938,1473,1,0.33,2335,1,0.265,1973,1,58.58,1852,1,1.258,2745,1,1.583,565,1,30.801,6271,2,22.126,13212,5,0.425,2142,1,0.369,3256,1,1.027,3516,2,0.526,1292,1,0.238,11769,4,2.296,5804,2,0.156,14214,5,0.472,9158,3,1416,293,792,331,791
"E01008119","Sheffield 009F","E08000019","Sheffield",64.709,556,1,0.392,900,1,0.291,1226,1,78.157,368,1,1.578,1371,1,1.351,1251,1,34.058,4434,2,16.703,17071,6,0.48,1085,1,0.432,1768,1,1.51,991,1,0.573,442,1,0.175,12835,4,3.021,3889,2,-0.042,17097,6,0.186,13147,5,1254,324,708,222,686.25
"E01008125","Sheffield 009G","E08000019","Sheffield",36.308,5661,2,0.226,6720,3,0.218,3985,2,55.295,2300,1,0.843,5716,2,0.234,12929,4,23.815,12268,4,11.746,21676,7,0.293,7006,3,0.241,8967,3,1.144,2696,1,0.488,2462,1,0.025,15393,5,1.542,8393,3,-0.649,25279,8,0.291,11616,4,1495,297,803,395,816.5
"E01007849","Sheffield 010A","E08000019","Sheffield",41.378,4103,2,0.281,4082,2,0.216,4094,2,36.665,6304,2,1.127,3517,2,0.863,4625,2,24.93,11132,4,30.575,8399,3,0.357,4322,2,0.283,6667,3,0.748,6000,2,0.402,6673,3,-0.658,26296,9,2.845,4311,2,0.586,8308,3,0.524,8516,3,2121,551,1242,328,1215.75
"E01007857","Sheffield 010B","E08000019","Sheffield",46.621,2861,1,0.314,2838,1,0.237,2991,1,58.815,1827,1,1.222,2952,1,0.453,9674,3,24.794,11289,4,28.485,9434,3,0.358,4296,2,0.306,5583,2,1.057,3281,1,0.524,1364,1,-0.524,24520,8,2.694,4709,2,0.455,9934,4,0.574,7921,3,1577,388,857,332,862.75
"E01008059","Sheffield 010C","E08000019","Sheffield",56.184,1318,1,0.366,1404,1,0.284,1428,1,71.252,676,1,1.554,1447,1,0.512,8874,3,22.354,13943,5,25.13,11305,4,0.482,1057,1,0.333,4500,2,1.409,1365,1,0.548,828,1,-0.778,27682,9,2.521,5209,2,0.331,11639,4,0.476,9109,3,1508,387,852,269,839.5
"E01008060","Sheffield 010D","E08000019","Sheffield",54.165,1577,1,0.354,1670,1,0.291,1242,1,57.904,1949,1,1.366,2196,1,1.068,2853,1,21.455,15013,5,20.186,14509,5,0.449,1643,1,0.312,5308,2,1.36,1565,1,0.47,3182,1,-0.72,27021,9,2.293,5814,2,0.083,15323,5,0.39,10240,4,1407,340,793,274,791.5
"E01008061","Sheffield 011A","E08000019","Sheffield",45.645,3046,1,0.3,3340,2,0.228,3426,2,45.006,4165,2,0.804,6076,2,1.766,279,1,25.153,10887,4,17.67,16354,5,0.366,4014,2,0.287,6465,2,0.867,4832,2,0.456,3773,2,-0.631,25966,8,2.86,4278,2,-0.011,16657,6,0.252,12162,4,1601,429,856,316,855.5
"E01008063","Sheffield 011B","E08000019","Sheffield",30.941,7782,3,0.176,10075,4,0.218,3983,2,24.375,11178,4,0.783,6276,2,0.672,6732,3,20.903,15664,5,17.354,16575,6,0.113,19791,7,0.14,17428,6,-0.226,19861,7,0.411,6123,2,-0.592,25438,8,2.062,6522,2,-0.078,17656,6,0.315,11282,4,1490,229,835,426,846.25
"E01033277","Sheffield 011E","E08000019","Sheffield",68.317,352,1,0.432,452,1,0.303,993,1,78.864,334,1,1.409,1985,1,1.838,215,1,29.525,7142,3,20.497,14299,5,0.613,114,1,0.353,3773,2,1.673,585,1,0.553,718,1,-0.227,19787,7,3.072,3773,2,-0.069,17504,6,0.614,7476,3,2376,625,1384,367,1353.5
"E01008087","Sheffield 012A","E08000019","Sheffield",13.332,20338,7,0.085,20708,7,0.074,21428,7,20.704,13273,5,-0.349,21226,7,0.509,8905,3,10.309,28489,9,20.065,14592,5,0.069,25445,8,0.162,15251,5,-0.081,17566,6,0.361,9737,3,-0.77,27584,9,-0.047,15697,5,0.12,14751,5,0.318,11243,4,1551,247,904,400,906.25
"E01008088","Sheffield 012B","E08000019","Sheffield",23.113,11971,4,0.142,13187,5,0.118,12834,4,22.802,12027,4,0.371,10967,4,1.005,3325,2,19.307,17687,6,16.81,16992,6,0.228,10584,4,0.15,16415,5,0.192,13190,5,0.35,10764,4,-0.218,19617,6,1.17,9876,4,-0.222,19718,7,0.433,9702,3,1416,212,812,392,821
"E01008090","Sheffield 012C","E08000019","Sheffield",58.799,1034,1,0.386,1042,1,0.277,1612,1,77.666,395,1,1.244,2836,1,1.21,1912,1,24.873,11202,4,19.084,15312,5,0.539,407,1,0.308,5480,2,1.64,664,1,0.552,752,1,-0.796,27873,9,2.94,4069,2,0.071,15494,5,0.29,11627,4,1624,366,948,310,948.75
"E01008092","Sheffield 012D","E08000019","Sheffield",61.151,824,1,0.32,2655,1,0.33,553,1,58.803,1829,1,1.831,727,1,1.152,2265,1,38.155,2698,1,16.916,16905,6,0.375,3649,2,0.303,5740,2,0.929,4317,2,0.54,974,1,0.314,10569,4,3.343,3218,1,-0.303,20867,7,0.524,8514,3,1438,250,816,372,816.5
"E01008122","Sheffield 012E","E08000019","Sheffield",70.155,265,1,0.414,607,1,0.318,708,1,81.801,229,1,1.383,2113,1,1.727,333,1,35.093,3988,2,24.629,11633,4,0.512,640,1,0.36,3562,2,1.515,972,1,0.6,214,1,0.064,14717,5,3.446,3027,1,0.187,13743,5,0.658,6954,3,1337,364,758,215,752.75
"E01008124","Sheffield 012F","E08000019","Sheffield",63.982,612,1,0.372,1298,1,0.303,988,1,68.429,879,1,1.432,1904,1,1.829,223,1,33.543,4701,2,19.404,15078,5,0.406,2667,1,0.426,1888,1,1.322,1732,1,0.543,905,1,-0.004,15866,5,3.328,3247,1,-0.005,16584,6,0.433,9700,3,1502,408,890,204,896.25
"E01007848","Sheffield 013A","E08000019","Sheffield",64.317,583,1,0.39,943,1,0.319,705,1,73.645,563,1,2.224,218,1,0.633,7212,3,29.35,7281,3,12.192,21213,7,0.494,863,1,0.375,3072,1,1.565,828,1,0.537,1028,1,-0.331,21552,7,3.195,3495,2,-0.358,21624,7,0.065,15014,5,1743,416,956,371,966
"E01007851","Sheffield 013B","E08000019","Sheffield",50.004,2218,1,0.347,1826,1,0.261,2089,1,55.204,2314,1,1.028,4185,2,0.896,4328,2,29.358,7276,3,18.532,15728,5,0.442,1788,1,0.283,6672,3,1.129,2783,1,0.49,2406,1,-0.066,16921,6,2.76,4539,2,-0.084,17754,6,0.446,9506,3,1486,406,858,222,834.25
"E01007947","Sheffield 013C","E08000019","Sheffield",67.749,380,1,0.413,619,1,0.388,150,1,66.705,1012,1,1.831,725,1,0.821,5026,2,34.56,4209,2,9.238,24374,8,0.485,1011,1,0.373,3143,1,0.92,4375,2,0.592,268,1,-0.011,15977,5,3.515,2913,1,-0.924,28093,9,0.186,13142,5,1675,337,876,462,899.25
"E01007948","Sheffield 013D","E08000019","Sheffield",54.378,1549,1,0.393,882,1,0.267,1908,1,63.462,1300,1,1.107,3655,2,0.81,5142,2,29.782,6947,3,14.553,18911,6,0.427,2108,1,0.423,1957,1,0.943,4191,2,0.565,532,1,-0.774,27636,9,3.759,2531,1,-0.154,18751,6,0.095,14576,5,1762,545,924,293,893
"E01008062","Sheffield 013E","E08000019","Sheffield",61.202,817,1,0.415,595,1,0.333,521,1,63.318,1312,1,1.477,1730,1,0.464,9520,3,30.187,6669,3,15.476,18120,6,0.464,1361,1,0.397,2492,1,1.027,3515,2,0.554,711,1,-0.761,27484,9,3.808,2444,1,-0.339,21366,7,0.42,9873,4,1678,501,862,315,859.5
"E01007847","Sheffield 014A","E08000019","Sheffield",42.52,3775,2,0.285,3930,2,0.282,1483,1,39.093,5570,2,1.287,2594,1,-0.349,21780,7,23.838,12241,4,18.301,15893,5,0.363,4104,2,0.209,11151,4,0.469,9203,3,0.464,3409,2,-0.207,19434,6,2.045,6584,3,-0.212,19580,6,0.563,8027,3,1280,217,727,336,739.75
"E01007850","Sheffield 014B","E08000019","Sheffield",21.094,13388,5,0.124,15177,5,0.118,12905,4,31.121,8145,3,0.189,13379,5,0.7,6404,2,14.674,23471,8,17.076,16796,6,0.221,11048,4,0.104,22065,7,0.596,7610,3,0.373,8769,3,-0.821,28144,9,1.038,10387,4,-0.063,17400,6,0.259,12066,4,1571,278,888,405,898.5
"E01007852","Sheffield 014C","E08000019","Sheffield",22.14,12648,4,0.137,13717,5,0.122,12335,4,31.437,8017,3,0.293,11986,4,0.303,11875,4,16.387,21285,7,26.631,10423,4,0.184,13487,5,0.152,16136,5,0.468,9213,3,0.397,7032,3,-0.667,26401,9,1.258,9496,3,0.212,13382,5,0.805,5559,2,1467,253,960,254,958
"E01007853","Sheffield 014D","E08000019","Sheffield",21.046,13429,5,0.146,12798,4,0.107,14608,5,28.459,9214,3,0.561,8683,3,0.047,15847,5,22.045,14307,5,13.212,20194,7,0.207,11941,4,0.209,11157,4,0.59,7702,3,0.347,11034,4,0.064,14711,5,1.056,10324,4,-0.291,20702,7,0.112,14296,5,1590,263,924,403,933.75
"E01007854","Sheffield 014E","E08000019","Sheffield",35.225,6053,2,0.243,5852,2,0.188,5802,2,50.739,3022,1,0.845,5694,2,0.244,12777,4,23.676,12425,4,19.328,15131,5,0.277,7826,3,0.278,6904,3,1.157,2608,1,0.451,3992,2,-0.446,23371,8,2.401,5507,2,-0.184,19167,6,0.633,7281,3,1731,523,1036,172,1015.5
"E01007855","Sheffield 014F","E08000019","Sheffield",37.477,5301,2,0.228,6597,3,0.18,6423,2,48.882,3383,2,1.314,2448,1,-0.385,22329,7,25.174,10863,4,38.512,5201,2,0.297,6817,3,0.252,8275,3,1.38,1492,1,0.386,7785,3,-0.221,19681,6,2.321,5738,2,0.718,6802,3,0.964,4208,2,2116,583,1291,242,1278
"E01007941","Sheffield 015A","E08000019","Sheffield",46.361,2905,1,0.305,3162,1,0.269,1835,1,47.878,3566,2,1.391,2076,1,0.385,10606,4,25.775,10243,4,18.36,15862,5,0.363,4130,2,0.343,4098,2,0.74,6064,2,0.496,2223,1,-0.523,24488,8,2.853,4295,2,-0.066,17453,6,0.403,10077,4,1574,325,802,447,806.5
"E01007945","Sheffield 015B","E08000019","Sheffield",53.131,1707,1,0.336,2152,1,0.277,1611,1,69.002,836,1,1.178,3195,1,1.098,2619,1,23.623,12488,4,15.8,17843,6,0.403,2756,1,0.323,4908,2,1.617,709,1,0.503,1981,1,-1.156,30728,10,2.918,4126,2,-0.333,21288,7,0.446,9517,3,1842,441,1043,358,1032.75
"E01007946","Sheffield 015C","E08000019","Sheffield",59.536,963,1,0.405,709,1,0.296,1135,1,73.231,580,1,1.274,2668,1,0.845,4811,2,28.756,7728,3,13.595,19828,7,0.524,524,1,0.312,5311,2,1.722,485,1,0.514,1648,1,-0.333,21600,7,3.102,3694,2,-0.381,21911,7,0.256,12103,4,1569,453,922,194,901.5
"E01007950","Sheffield 015D","E08000019","Sheffield",40.675,4318,2,0.289,3780,2,0.207,4601,2,54.819,2373,1,0.718,6924,3,0.725,6131,2,26.826,9298,3,20.32,14422,5,0.395,2972,1,0.231,9562,3,1.28,1928,1,0.46,3566,2,-0.357,21964,7,2.827,4368,2,0.009,16389,5,0.503,8769,3,1509,419,813,277,810.25
"E01008123","Sheffield 015E","E08000019","Sheffield",53.229,1699,1,0.312,2893,1,0.261,2105,1,75.014,487,1,1.205,3036,1,1.174,2141,1,24.729,11357,4,24.005,11998,4,0.375,3651,2,0.288,6438,2,1.687,551,1,0.529,1230,1,-0.848,28403,9,2.951,4042,2,0.47,9740,3,0.058,15128,5,1327,330,744,253,738.75
"E01007987","Sheffield 016A","E08000019","Sheffield",9.325,25049,8,0.064,24824,8,0.07,22403,7,8.178,23753,8,-0.231,19576,6,-0.186,19383,6,13.95,24365,8,19.462,15030,5,0.07,25343,8,0.098,23033,8,-0.357,21780,7,0.23,24053,8,-0.179,18970,6,-0.197,16538,6,0.242,12953,4,0.015,15819,5,1446,273,935,238,929
"E01007988","Sheffield 016B","E08000019","Sheffield",10.159,24006,8,0.071,23393,8,0.08,19985,7,8.926,22970,7,-0.491,23135,8,0.492,9151,3,7.285,30966,10,12.482,20914,7,0.045,29274,9,0.11,21247,7,-0.386,22260,7,0.247,22026,7,-0.712,26914,9,-1.02,21062,7,-0.202,19443,6,-0.114,17883,6,1528,276,832,420,851
