"LSOA11CD","LSOA11NM","WD17CD","WD17NM","WD17NMW","LAD17CD","LAD17NM","FID","LSOA name.x"
"E01008097","Sheffield 043C","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7839,"Sheffield 043C"
"E01008098","Sheffield 048A","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7840,"Sheffield 048A"
"E01008099","Sheffield 051E","E05010870","Gleadless Valley",NA,"E08000019","Sheffield",7841,"Sheffield 051E"
"E01008100","Sheffield 048B","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7842,"Sheffield 048B"
"E01008101","Sheffield 043D","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7843,"Sheffield 043D"
"E01008102","Sheffield 048C","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7844,"Sheffield 048C"
"E01008103","Sheffield 048D","E05010876","Park and Arbourthorne",NA,"E08000019","Sheffield",7845,"Sheffield 048D"
"E01008104","Sheffield 036E","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7846,"Sheffield 036E"
"E01008105","Sheffield 040A","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7847,"Sheffield 040A"
"E01008107","Sheffield 040C","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7848,"Sheffield 040C"
"E01008108","Sheffield 042A","E05010862","City",NA,"E08000019","Sheffield",7849,"Sheffield 042A"
"E01008109","Sheffield 042B","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7850,"Sheffield 042B"
"E01008111","Sheffield 040D","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7901,"Sheffield 040D"
"E01008112","Sheffield 042D","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7902,"Sheffield 042D"
"E01008113","Sheffield 042E","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",7903,"Sheffield 042E"
"E01008114","Sheffield 074A","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7904,"Sheffield 074A"
"E01008115","Sheffield 074B","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7905,"Sheffield 074B"
"E01008116","Sheffield 009C","E05010879","Southey",NA,"E08000019","Sheffield",7906,"Sheffield 009C"
"E01008117","Sheffield 009D","E05010879","Southey",NA,"E08000019","Sheffield",7907,"Sheffield 009D"
"E01008118","Sheffield 009E","E05010879","Southey",NA,"E08000019","Sheffield",7908,"Sheffield 009E"
"E01008119","Sheffield 009F","E05010879","Southey",NA,"E08000019","Sheffield",7909,"Sheffield 009F"
"E01008122","Sheffield 012E","E05010879","Southey",NA,"E08000019","Sheffield",7910,"Sheffield 012E"
